id,title,so_ky_hieu,ngay_ban_hanh,loai_van_ban,ngay_co_hieu_luc,ngay_het_hieu_luc,nguon_thu_thap,ngay_dang_cong_bao,nganh,linh_vuc,co_quan_ban_hanh,chuc_danh,nguoi_ky,pham_vi,thong_tin_ap_dung,tinh_trang_hieu_luc,agent_category,status_checked_at,status_filter
172678,"Nghị quyết số 23/2024/NQ-HĐND Bãi bỏ toàn bộ Nghị quyết số 16/2022/NQ-HĐND ngày 09/12/2022 của Hội đồng nhân dân thành phố quy định mức giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh, chữa bệnh của Nhà nước thuộc thành phố Hải Phòng",23/2024/NQ-HĐND,06/12/2024,Nghị quyết,01/01/2025,,,,,Chưa phân loại,HĐND Thành phố Hải Phòng,Chủ tịch,Phạm Văn Lập,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
173283,"Nghị quyết số 30/2024/NQ-HĐND Bãi bỏ Nghị quyết số 39/2023/NQ-HĐND ngày 08 tháng 12 năm 2023 của Hội đồng nhân dân Thành phố quy định giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ Bảo hiểm y tế trong các cơ sở khám bệnh, chữa bệnh của Nhà nước thuộc Thành phố Hồ Chí Minh quản lý và mức giá dịch vụ khám bệnh, chữa bệnh trong một số trường hợp",30/2024/NQ-HĐND,11/12/2024,Nghị quyết,01/01/2025,,Sao y bản chính,,Y tế,Chưa phân loại,HĐND Thành phố Hồ Chí Minh,Chủ tịch,Nguyễn Thị Lệ,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
173906,"Nghị quyết số 24/2024/NQ-HĐND Bãi bỏ Nghị quyết số 280/2019/NQ-HĐND ngày 08/10/2019 của Hội đồng nhân dân Tỉnh về việc ban hành bảng giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của quỹ bảo hiểm y tế trong các cơ sở khám bệnh, chữa bệnh của nhà nước trên địa bàn tỉnh Đồng Tháp",24/2024/NQ-HĐND,28/12/2024,Nghị quyết,01/01/2025,,,,Y tế,"Quản lý Khám, chữa bệnh",HĐND Tỉnh Đồng Tháp,Chủ tịch,Phan Văn Thắng,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
174421,"Nghị quyết số 30/2024/NQ-HĐND Bãi bỏ Nghị quyết số 09/2019/NQ-HĐND ngày 06 tháng 12 năm 2019 của Hội đồng nhân dân tỉnh “về việc quy định mức giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh, chữa bệnh của Nhà nước trên địa bàn tỉnh Bạc Liêu”",30/2024/NQ-HĐND,30/12/2024,Nghị quyết,01/01/2025,,Từ văn bản gốc,,Y tế,Chưa phân loại,HĐND tỉnh Bạc Liêu,Chủ tịch,Lữ Văn Hùng,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
142680,"Quyết định số 12/2020/QĐ-UBND Bãi bỏ Quyết định số 51/2017/QĐ-UBND ngày 21/8/2017 của UBND tỉnh Quảng Ngãi Quy định mức giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh, chữa bệnh của Nhà nước thuộc tỉnh Quảng Ngãi quản lý",12/2020/QĐ-UBND,19/06/2020,Quyết định,01/07/2020,,VĂN BẢN GỐC,,,Chưa phân loại,UBND Tỉnh Quảng Ngãi,Chủ tịch,Trần Ngọc Căng,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
49919,"Quyết định số 72/2012/QĐ-UBND Về việc quy định đơn giá dịch vụ khám bệnh, chữa bệnh tại các cơ sở khám bệnh, chữa bệnh của nhà nước trên địa bàn tỉnh Nghệ An",72/2012/QĐ-UBND,03/10/2012,Quyết định,13/10/2012,,"Công báo số 41 + 42, năm 2012",08/10/2012,Y tế,Khám chữa bệnh,UBND Tỉnh Nghệ An,Chủ tịch,Hồ Đức Phớc,Địa phương,,Còn hiệu lực,vien_phi,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
173621,"Nghị quyết số 40/2024/NQ-HĐND Bãi bỏ Nghị quyết số 01/2024/NQ-HĐND ngày 19 tháng 01 năm 2024 của Hội đồng nhân dân tỉnh Đồng Nai quy định giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh, chữa bệnh của Nhà nước trên địa bàn tỉnh Đồng Nai",40/2024/NQ-HĐND,20/12/2024,Nghị quyết,01/01/2025,,,,Y tế,Bảo hiểm y tế,HĐND Tỉnh Đồng Nai,Chủ tịch,Thái Bảo,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
175354,"Nghị quyết số 10/2025/NQ-HĐND Bãi bỏ Nghị quyết số 32/2024/NQ-HĐND ngày 10 tháng 05 năm 2024 của Hội đồng nhân dân tỉnh Quy định giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ Bảo hiểm y tế mà không phải là dịch vụ khám bệnh, chữa bệnh theo yêu cầu trong các cơ sở khám bệnh, chữa bệnh của Nhà nước trên địa bàn tỉnh Quảng Trị",10/2025/NQ-HĐND,20/02/2025,Nghị quyết,03/03/2025,,Cổng Thông tin điện tử tỉnh Quảng Trị,,,Chưa phân loại,HĐND Tỉnh Quảng Trị,Chủ tịch,Nguyễn Đăng Quang,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
186215,"Nghị quyết số 36/2025/NQ-HĐND Bãi bỏ Nghị quyết số 29/2024/NQ-HĐND ngày 30 tháng 12 năm 2024 của Hội đồng nhân dân tỉnh Bạc Liêu quy định giá dịch vụ khám bệnh, chữa bệnh do quỹ bảo hiểm y tế thanh toán; giá dịch vụ khám bệnh, chữa bệnh do Ngân sách nhà nước thanh toán; giá dịch vụ khám bệnh, chữa bệnh không thuộc danh mục do quỹ bảo hiểm y tế thanh toán mà không phải là dịch vụ khám bệnh, chữa bệnh theo yêu cầu đối với các cơ sở khám bệnh, chữa bệnh của Nhà nước trên địa bàn tỉnh Bạc Liêu",36/2025/NQ-HĐND,30/12/2025,Nghị quyết,01/02/2026,,PDF,,Lao động - Thương binh và Xã hội,"Lao động, tiền lương, tiền công",HĐND Tỉnh Cà Mau,Chủ tịch,Phạm Văn Thiều,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
172675,"Nghị quyết số 21/2024/NQ-HĐND Bãi bỏ Nghị quyết số 124/2019/NQ-HĐND ngày 13 tháng 12 năm 2019 của Hội đồng nhân dân tỉnh Quy định mức giá dịch vụ khám bệnh, chữa bệnh tại các cơ sở khám bệnh, chữa bệnh của Nhà nước trên địa bàn tỉnh Bà Rịa - Vũng Tàu không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế và nguyên tắc áp dụng giá khám bệnh, chữa bệnh trong một số trường hợp",21/2024/NQ-HĐND,06/12/2024,Nghị quyết,16/12/2024,,bản chính,,Y tế,Khám chữa bệnh,HĐND tỉnh Bà Rịa - Vũng Tàu,Chủ tịch,Phạm Viết Thanh,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
172863,"Nghị quyết số 140/2024/NQ-HĐND Quy định giá dịch vụ khám bệnh, chữa bệnh thuộc danh mục do Quỹ bảo hiểm y tế thanh toán; giá dịch vụ khám bệnh, chữa bệnh do ngân sách nhà nước thanh toán; giá dịch vụ khám bệnh, chữa bệnh không thuộc danh mục do Quỹ bảo hiểm y tế thanh toán mà không phải là dịch vụ khám bệnh, chữa bệnh theo yêu cầu cho các cơ sở khám bệnh, chữa bệnh của Nhà nước thuộc phạm quản lý của tỉnh Nam Định",140/2024/NQ-HĐND,10/12/2024,Nghị quyết,10/12/2024,,,,,Chưa phân loại,HĐND tỉnh Nam Định,Chủ tịch,Lê Quốc Chỉnh,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
173398,"Nghị quyết số 09/2024/NQ-HĐND Bãi bỏ Nghị quyết số 19/2023/NQ-HĐND ngày 12 tháng 12 năm 2023 của Hội đồng nhân dân tỉnh quy định mức giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế mà không phải dịch vụ khám bệnh chữa bệnh theo yêu cầu tại các cơ sở khám bệnh, chữa bệnh của Nhà nước thuộc tỉnh Phú Thọ quản lý",09/2024/NQ-HĐND,11/12/2023,Nghị quyết,01/01/2025,,Hệ điều hành văn bản của tỉnh,,Y tế,Chưa phân loại,HĐND Tỉnh Phú Thọ,Chủ tịch,Bùi Minh Châu,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
173768,"Nghị quyết số 114/2024/NQ-HĐND Bãi bỏ Nghị quyết số 23/2024/NQ-HĐND ngày 06 tháng 5 năm 2024 của HĐND tỉnh Bắc Giang quy định mức giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh, chữa bệnh của Nhà nước trên địa bàn tỉnh Bắc Giang",114/2024/NQ-HĐND,11/12/2024,Nghị quyết,01/01/2025,,,,,Chưa phân loại,HĐND tỉnh Bắc Giang,Phó Chủ tịch,Lâm Thị Hương Thành,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
141544,"Nghị quyết số 18/2019/NQ-HĐND Quy định giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế tại các cơ sở khám bệnh, chữa bệnh của Nhà nước do địa phương quản lý",18/2019/NQ-HĐND,11/12/2019,Nghị quyết,21/12/2019,,,,Y tế,Khám chữa bệnh,HĐND Tỉnh An Giang,Chủ tịch,Võ Anh Kiệt,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
126742,"Quyết định số 25/2017/QĐ-UBND Quy định mức giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của quỹ bảo hiểm y tế trong cơ sở khám bệnh, chữa bệnh Nhà nước thuộc địa phương quản lý trên địa bàn tỉnh Hà Nam",25/2017/QĐ-UBND,07/08/2017,Quyết định,01/10/2017,,,,,Chưa phân loại,UBND tỉnh Hà Nam,Chủ tịch,Nguyễn Xuân Đông,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
168478,"NGHỊ QUYẾT SỐ Số: 6/2019/NQ-HĐND QUY ĐỊNH VỀ GIÁ DỊCH VỤ KHÁM BỆNH, CHỮA BỆNH KHÔNG THUỘC PHẠM VI THANH TOÁN CỦA QUỸ BẢO HIỂM Y TẾ TRONG CÁC CƠ SỞ KHÁM BỆNH, CHỮA BỆNH CỦA NHÀ NƯỚC TRÊN ĐỊA BÀN TỈNH BÌNH PHƯỚC",Số: 6/2019/NQ-HĐND,16/12/2019,Nghị quyết,26/12/2019,,,,Y tế,Khám chữa bệnh,HĐND tỉnh Bình Phước,Phó Chủ tịch,Trần Ngọc Trai,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
75997,"Nghị quyết số 25/2013/NQ-HĐND Về bãi bỏ bảng giá thu một phần viện phí tại trạm Y tế xã áp dụng cho người bệnh ngoại trú, nội trú có thẻ bảo hiểm y tế ban hành kèm theo Nghị quyết số 13/2008/NQ-HĐND ngày 16/12/2008 của Hội đồng nhân dân tỉnh Kon Tum khóa IX, kỳ họp thứ 11",25/2013/NQ-HĐND,11/12/2013,Nghị quyết,21/12/2013,,,,Tài chính,Chưa phân loại,HĐND tỉnh Kon Tum,Chủ tịch,Hà Ban,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
27f12c90-58e8-11f1-a671-8bd8cc508176,"Thông tư 12/2026/TT-BTC Quy định trình tự, thủ tục giám định chi phí khám bệnh, chữa bệnh bảo hiểm y tế, biểu mẫu tổng hợp thanh toán, quyết toán và biện pháp thi hành Nghị định số 188/2025/NĐ-CP ngày 01 tháng 7 năm 2025 của Chính phủ quy định chi tiết và hướng dẫn thi hành một số điều của Luật Bảo hiểm y tế",12/2026/TT-BTC,10/02/2026,Thông tư,10/02/2026,,,,Tài chính,Bảo hiểm y tế,Bộ Tài chính,Thứ trưởng,Lê Tấn Cận,Trung ương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
141428,"Nghị quyết số 08/2019/NQ-HĐND Quy định giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế tại các cơ sở khám bệnh, chữa bệnh của Nhà nước do địa phương quản lý",08/2019/NQ-HĐND,12/07/2019,Nghị quyết,01/12/2019,,,,Y tế,Khám chữa bệnh,HĐND Tỉnh An Giang,Chủ tịch,Võ Anh Kiệt,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
169332,"Nghị quyết số 06/2024/NQ-HĐND Về việc ban hành mức giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế mà không phải là dịch vụ khám bệnh, chữa bệnh theo yêu cầu tại các cơ sở khám bệnh, chữa bệnh của Nhà nước trên địa bàn tỉnh Khánh Hòa",06/2024/NQ-HĐND,12/07/2024,Nghị quyết,22/07/2024,,,,,Chưa phân loại,HĐND Tỉnh Khánh Hòa,Phó Chủ tịch,Trần Mạnh Dũng,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
157394,"Quyết định số 27/2020/QĐ-UBND Quy định giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh, chữa bệnh của Nhà nước trên địa bàn tỉnh Ninh Thuận",27/2020/QĐ-UBND,03/08/2020,Quyết định,13/08/2020,,,,,,UBND tỉnh Ninh Thuận,Phó Chủ tịch,Lê Văn Bình,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
174245,"Nghị quyết số 26/2024/NQ-HĐND Bãi bỏ Nghị quyết số 04/2024/NQ-HĐND ngày 19 tháng 4 năm 2024 của Hội đồng nhân dân tỉnh An Giang quy định mức giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế mà không phải là đối tượng khám bệnh, chữa bệnh theo yêu cầu tạ",26/2024/NQ-HĐND,27/12/2024,Nghị quyết,27/12/2024,,,,,Chưa phân loại,HĐND Tỉnh An Giang,Chủ tịch,Lê Văn Nưng,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
173084,"Nghị quyết số 17/2024/NQ-HĐND Bãi bỏ Nghị quyết số 08/2024/NQ-HĐND ngày 04 tháng 7 năm 2024 của Hội đồng nhân dân tỉnh Quy định mức giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ Bảo hiểm y tế mà không phải là dịch vụ khám bệnh, chữa bệnh theo yêu cầu trong các cơ sở khám bệnh, chữa bệnh của nhà nước thuộc tỉnh Tuyên Quang quản lý",17/2024/NQ-HĐND,05/12/2024,Nghị quyết,01/01/2025,,,,Bảo Hiểm,Bảo hiểm y tế,HĐND Tỉnh Tuyên Quang,Phó Chủ tịch,Phạm Thị Minh Xuân,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
173463,"Nghị quyết số 13/2024/NQ-HĐND Về việc Bãi bỏ các Nghị quyết của Hội đồng nhân dân tỉnh quy định giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh, chữa bệnh của Nhà nước trên địa bàn tỉnh Bắc Ninh",13/2024/NQ-HĐND,11/12/2024,Nghị quyết,01/01/2025,,,,,Chưa phân loại,HĐND Tỉnh Bắc Ninh,Chủ tịch,NGUYỄN HƯƠNG GIANG,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
173101,"Nghị quyết số 22/2024/NQ-HĐND Bãi bỏ Nghị quyết số 07/2020/NQ-HĐND ngày 11 tháng 6 năm 2020 của Hội đồng nhân dân tỉnh Quy định giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế trong các cơ sở khám bệnh, chữa bệnh công lập trên địa bàn tỉnh",22/2024/NQ-HĐND,06/12/2024,Nghị quyết,01/01/2025,,,,Y tế,Chưa phân loại,HĐND tỉnh Bình Thuận,Chủ tịch,Nguyễn Hoài Anh,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
141832,"Quyết định số 10/2020/QĐ-UBND Bãi bỏ Quyết định số 74/2017/QĐ-UBND ngày 01 tháng 9 năm 2017 của Ủy ban nhân dân tỉnh về việc quy định mức giá dịch vụ khám bệnh, chữa bệnh không thuộc phạm vi thanh toán của Quỹ bảo hiểm y tế tại các cơ sở y tế công lập thuộc tỉnh Thừa Thiên Huế",10/2020/QĐ-UBND,05/03/2020,Quyết định,15/03/2020,,Công báo số 25 năm 2020,15/03/2020,Y tế,Chưa phân loại,UBND tỉnh Thừa Thiên Huế,Phó Chủ tịch,Nguyễn Văn Phương,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
173832,"Nghị quyết số 27/2024/NQ-HĐND Quy định giá dịch vụ khám bệnh, chữa bệnh thuộc danh mục do quỹ bảo hiểm y tế thanh toán; giá dịch vụ khám bệnh, chữa bệnh do ngân sách nhà nước thanh toán; giá dịch vụ khám bệnh, chữa bệnh không thuộc danh mục do quỹ bảo hiểm y tế thanh toán mà không phải là dịch vụ khám bệnh, chữa bệnh theo yêu cầu đối với các cơ sở khám bệnh, chữa bệnh của Nhà nước trên địa bàn tỉnh Bến Tre",27/2024/NQ-HĐND,06/12/2024,Nghị quyết,16/12/2024,,,,Y tế,Khám chữa bệnh,HĐND tỉnh Bến Tre,Chủ tịch,Hồ Thị Hoàng Yến,Địa phương,,Còn hiệu lực,"bhyt,vien_phi",2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
4934,"Quyết định số 2485/QĐ.UB-VX Về việc dừng thu viện phí đối với trẻ em dưới 6 tuổi của tỉnh, khi các cháu khám chữa bệnh vượt tuyến trái phép",2485/QĐ.UB-VX,31/08/2000,Quyết định,16/09/2000,,STP tỉnh Nghệ An;,,Y tế,Khám chữa bệnh,UBND Tỉnh Nghệ An,Phó Chủ tịch,Hoàng Ky,Địa phương,,Còn hiệu lực,vien_phi,2026-08-04,Còn hiệu lực và không là target của quan hệ Bãi bỏ/Thay thế
